"term","estimate","std.error","t.value","p.value","decision"
"(Intercept)",3.3773575842706,0.852336862024608,3.96246805077532,0.000118085215932337,"Reject H0 (significant)"
"Study_Hours",-0.0639581954050321,0.121044939156022,-0.528383886604237,0.598075526245486,"Do not reject H0 (not significant)"
"Attendance.to.classes",-0.535422497485543,0.257630854974539,-2.07825455354894,0.0395249151680881,"Reject H0 (significant)"
"Taking.notes.in.classes",0.276997023678257,0.19380124502353,1.42928402572763,0.155166191795277,"Do not reject H0 (not significant)"
"Listening.in.classes",0.0794229179615767,0.160456802713487,0.494980060791783,0.621395711053043,"Do not reject H0 (not significant)"
"Preparation.to.midterm.exams.1",-0.236175603749796,0.178013467889158,-1.32672885119486,0.186773873415254,"Do not reject H0 (not significant)"
