"term","estimate","std.error","t.value","p.value"
"(Intercept)",2.70086267436022e-17,0.0819309984122785,3.29650892421623e-16,1
"scale(Study_Hours)",-0.0450984251031046,0.0853516283264006,-0.528383886604247,0.598075526245479
"scale(Attendance.to.classes)",-0.17670825722523,0.0850272440993678,-2.07825455354895,0.0395249151680867
"scale(Taking.notes.in.classes)",0.120274195392856,0.0841499612588385,1.42928402572762,0.155166191795281
"scale(Listening.in.classes)",0.0411883701720968,0.0832121805193761,0.494980060791773,0.62139571105305
"scale(Preparation.to.midterm.exams.1)",-0.111612660042547,0.0841262025334166,-1.32672885119487,0.186773873415251
